id,id_taxonref,plot_name,taxaname,taxonref,family,genus,species,infra,id_rank,dbh,height,strata,flower,fruit,month_obs,bark_thickness,leaf_area,leaf_ldmc,leaf_sla,leaf_thickness,wood_density,elevation,rainfall,holdridge,province,in_forest,in_um,geo_pt
29105,2283,,Burretiokentia vieillardii,Burretiokentia vieillardii (Brongn. & Gris) Pic.Serm.,Arecaceae,Burretiokentia,Burretiokentia vieillardii,,21,,,,,,,,,,,,,496,1510,2,,false,false,POINT (165.7683 -21.6461)
2144,1633,,Acmopyle pancheri,Acmopyle pancheri (Brongn. & Gris) Pilg.,Podocarpaceae,Acmopyle,Acmopyle pancheri,,21,,5,,false,true,3,,,,,,,880,1770,2,,false,true,POINT (165.0113439 -21.1725369)
115255,3904,,Kermadecia sinuata,Kermadecia sinuata Brongn. & Gris,Proteaceae,Kermadecia,Kermadecia sinuata,,21,,,,,,,,,,,,,475,1950,2,,false,false,POINT (165.8092335 -21.61141)
199717,6196,,Virotia leptophylla,Virotia leptophylla (Guillaumin) L.A.S.Johnson & B.G.Briggs,Proteaceae,Virotia,Virotia leptophylla,,21,,,,,,,,,,,,,475,1950,2,,false,false,POINT (165.8092335 -21.61141)
199657,6196,,Virotia leptophylla,Virotia leptophylla (Guillaumin) L.A.S.Johnson & B.G.Briggs,Proteaceae,Virotia,Virotia leptophylla,,21,,,,,,,,,,,,,598,1530,2,,false,false,POINT (165.70840454101562 -21.59054946899414)
199664,6196,,Virotia leptophylla,Virotia leptophylla (Guillaumin) L.A.S.Johnson & B.G.Briggs,Proteaceae,Virotia,Virotia leptophylla,,21,,,,,,,,,,,,,598,1530,2,,false,false,POINT (165.70840454101562 -21.59054946899414)
96864,3550,,Grevillea exul,Grevillea exul Lindl.,Proteaceae,Grevillea,Grevillea exul,,21,,,,,,,,,,,,,19,1730,2,,false,false,POINT (165.543 -21.186)
97658,3555,,Grevillea gillivrayi,Grevillea gillivrayi Hook. & Arn.,Proteaceae,Grevillea,Grevillea gillivrayi,,21,,,,,,,,,,,,,294,1680,2,,false,true,POINT (165.7021840108464 -21.3079373050519)
167771,5398,,Retrophyllum minus,Retrophyllum minus (Carrière) C.N.Page,Podocarpaceae,Retrophyllum,Retrophyllum minus,,21,,,,,,,,,,,,,97,2690,3,,false,true,POINT (166.949002498 -22.3048802058)
24630,16147,,Basselinia eriostachys,Basselinia eriostachys Becc.,Arecaceae,Basselinia,Basselinia eriostachys,,21,,,,,,,,,,,,,611,2810,3,,false,false,POINT (165.4825 -21.2317)
29092,2283,,Burretiokentia vieillardii,Burretiokentia vieillardii (Brongn. & Gris) Pic.Serm.,Arecaceae,Burretiokentia,Burretiokentia vieillardii,,21,,,,,,,,,,,,,611,2810,3,,false,false,POINT (165.4825 -21.2317)
56307,2842,,Cyphokentia macrostachya,Cyphokentia macrostachya Pancher ex Brongn.,Arecaceae,Cyphokentia,Cyphokentia macrostachya,,21,,,,,,,,,,,,,611,2810,3,,false,false,POINT (165.4825 -21.2317)
57182,2847,,Cyphosperma balansae,Cyphosperma balansae (Brongn.) H.Wendl. ex Salomon,Arecaceae,Cyphosperma,Cyphosperma balansae,,21,,,,,,,,,,,,,611,2810,3,,false,false,POINT (165.4825 -21.2317)
96768,3550,,Grevillea exul,Grevillea exul Lindl.,Proteaceae,Grevillea,Grevillea exul,,21,,,,,,,,,,,,,872,1680,2,,false,true,POINT (165.0140541258808 -21.1612883836291)
26487,2126,,Beauprea montana,Beauprea montana (Brongn. & Gris) Virot,Proteaceae,Beauprea,Beauprea montana,,21,,,,,,,,,,,,,397,3200,3,,false,true,POINT (166.899 -22.156)
16854,1866,,Araucaria rulei,Araucaria rulei F.Muell.,Araucariaceae,Araucaria,Araucaria rulei,,21,,,,,,,,,,,,,390,1460,2,,false,true,POINT (165.85762899999997 -21.379777000640235)
97405,3555,,Grevillea gillivrayi,Grevillea gillivrayi Hook. & Arn.,Proteaceae,Grevillea,Grevillea gillivrayi,,21,,,,,,,,,,,,,390,1460,2,,false,true,POINT (165.85762899999997 -21.379777000640235)
180823,5786,,Stenocarpus trinervis,Stenocarpus trinervis (Monrouz.) Guillaumin,Proteaceae,Stenocarpus,Stenocarpus trinervis,,21,,,,,,,,,,,,,390,1460,2,,false,true,POINT (165.85762899999997 -21.379777000640235)
57797,2852,,Dacrydium araucarioides,Dacrydium araucarioides Brongn. & Gris,Podocarpaceae,Dacrydium,Dacrydium araucarioides,,21,,,,,,,,,,,,,256,2980,3,,false,true,POINT (166.920956 -22.265702)
98022,3555,,Grevillea gillivrayi,Grevillea gillivrayi Hook. & Arn.,Proteaceae,Grevillea,Grevillea gillivrayi,,21,,,,,,,,,,,,,133,2260,2,,false,true,POINT (166.703359913473 -22.1953426072012)
91138,3454,,Garnieria spathulifolia,Garnieria spathulifolia (Brongn. & Gris) Brongn. & Gris,Proteaceae,Garnieria,Garnieria spathulifolia,,21,,,,,,,,,,,,,306,3030,3,,false,true,POINT (166.9529 -22.2699)
25168,2102,,Basselinia pancheri,Basselinia pancheri (Brongn. & Gris) Vieill.,Arecaceae,Basselinia,Basselinia pancheri,,21,,,,,,,,,,,,,300,3220,3,,false,true,POINT (166.58543310891167 -21.946644989507895)
57362,2852,,Dacrydium araucarioides,Dacrydium araucarioides Brongn. & Gris,Podocarpaceae,Dacrydium,Dacrydium araucarioides,,21,,,,,,,,,,,,,300,3220,3,,false,true,POINT (166.58543310891167 -21.946644989507895)
17130,1868,,Araucaria scopulorum,Araucaria scopulorum de Laub.,Araucariaceae,Araucaria,Araucaria scopulorum,,21,,,,,,,,,,,,,274,1620,2,,false,true,POINT (165.983333 -21.45)
97117,3550,,Grevillea exul,Grevillea exul Lindl.,Proteaceae,Grevillea,Grevillea exul,,21,,,,,,,,,,,,,560,1260,2,,false,true,POINT (166.20487600000013 -21.918200000653393)
