"id","class_object","class_name","class_value","class_index","plot_id"
1,top10_family,Sapindaceae,206.0,1,2
2,top10_family,Malvaceae,188.0,2,2
3,top10_family,Lauraceae,139.0,3,2
4,top10_family,Arecaceae,120.0,4,2
5,top10_family,Myrtaceae,107.0,5,2
6,top10_family,Meliaceae,94.0,6,2
7,top10_family,Chloranthaceae,83.0,7,2
8,top10_family,Elaeocarpaceae,70.0,8,2
9,top10_family,Primulaceae,64.0,9,2
10,top10_family,Rhizophoraceae,64.0,10,2
11,top10_species,Acropogon aoupiniensis,188.0,1,2
12,top10_species,Burretiokentia vieillardii,120.0,2,2
13,top10_species,Cupaniopsis phalacrocarpa,114.0,3,2
14,top10_species,Ascarina solmsiana,83.0,4,2
15,top10_species,Sloanea magnifolia,68.0,5,2
16,top10_species,Crossostylis multiflora,64.0,6,2
17,top10_species,Didymocheton kouiriensis,64.0,7,2
18,top10_species,Cryptocarya oubatchensis,61.0,8,2
19,top10_species,Guioa microsepala,54.0,9,2
20,top10_species,Syzygium neolaurifolium,52.0,10,2
21,top10_family,Arecaceae,203.0,1,3
22,top10_family,Sapindaceae,137.0,2,3
23,top10_family,Rubiaceae,83.0,3,3
24,top10_family,Calophyllaceae,82.0,4,3
25,top10_family,Sapotaceae,70.0,5,3
26,top10_family,Clusiaceae,70.0,6,3
27,top10_family,Meliaceae,63.0,7,3
28,top10_family,Lauraceae,56.0,8,3
29,top10_family,Nothofagaceae,55.0,9,3
30,top10_family,Myrtaceae,52.0,10,3
31,top10_species,Calophyllum caledonicum,82.0,1,3
32,top10_species,Cyphokentia macrostachya,75.0,2,3
33,top10_species,Burretiokentia vieillardii,66.0,3,3
34,top10_species,Chambeyronia macrocarpa,62.0,4,3
35,top10_species,Nothofagus aequilateralis,55.0,5,3
36,top10_species,Storthocalyx corymbosus,54.0,6,3
37,top10_species,Cupaniopsis macrocarpa,44.0,7,3
38,top10_species,Plerandra gabriellae,43.0,8,3
39,top10_species,Didymocheton rufescens,38.0,9,3
40,top10_species,Hedycarya cupulata,33.0,10,3
41,top10_family,Arecaceae,476.0,1,4
